;;;;;;;;
;;;;;;;;
;;;;;;;;
Name;D65_White;D65_Blue;D65_Skin;D65_Yellow;D50_White;D50_Blue;D50_Skin;D50_Yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
664;7,39787E-02;8,01636E-03;3,63427E-02;5,41804E-02;4,60519E-02;4,01569E-03;1,76477E-02;2,72445E-02
665;7,26451E-02;7,93806E-03;3,60175E-02;5,35882E-02;4,60661E-02;4,02813E-03;1,76702E-02;2,71187E-02
666;7,19053E-02;7,98698E-03;3,57988E-02;5,33904E-02;4,59656E-02;4,03785E-03;1,77990E-02;2,71497E-02
667;7,17399E-02;8,00264E-03;3,57923E-02;5,19655E-02;4,55624E-02;4,08123E-03;1,77738E-02;2,70487E-02
668;7,12231E-02;8,02758E-03;3,54375E-02;5,24312E-02;4,55711E-02;4,15905E-03;1,77280E-02;2,69420E-02
669;7,06829E-02;7,96218E-03;3,52181E-02;5,16045E-02;4,58470E-02;4,16505E-03;1,77939E-02;2,71141E-02
670;6,97629E-02;8,17918E-03;3,51859E-02;5,19150E-02;4,54808E-02;4,24027E-03;1,79161E-02;2,73211E-02
671;7,01962E-02;8,20298E-03;3,51957E-02;5,15414E-02;4,58346E-02;4,26015E-03;1,79310E-02;2,72458E-02
672;6,99028E-02;8,27576E-03;3,50206E-02;5,10831E-02;4,64133E-02;4,38289E-03;1,80840E-02;2,75849E-02
673;6,99273E-02;8,45226E-03;3,51935E-02;5,14713E-02;4,63252E-02;4,42651E-03;1,82815E-02;2,75370E-02
674;6,99174E-02;8,56344E-03;3,52910E-02;5,13462E-02;4,73754E-02;4,51908E-03;1,84002E-02;2,80203E-02
675;6,98379E-02;8,65880E-03;3,55454E-02;5,16590E-02;4,70885E-02;4,60240E-03;1,85787E-02;2,82356E-02
676;7,02272E-02;8,76543E-03;3,51575E-02;5,16734E-02;4,81140E-02;4,73505E-03;1,88271E-02;2,83883E-02
677;6,88536E-02;8,76078E-03;3,55219E-02;5,16428E-02;4,72527E-02;4,81977E-03;1,86916E-02;2,84958E-02
678;6,84865E-02;8,80223E-03;3,52441E-02;5,09849E-02;4,75367E-02;4,79074E-03;1,86777E-02;2,78637E-02
679;6,58667E-02;8,65109E-03;3,47527E-02;4,98037E-02;4,64199E-02;4,72646E-03;1,80327E-02;2,71200E-02
680;6,37426E-02;8,55326E-03;3,34375E-02;4,85092E-02;4,55350E-02;4,66136E-03;1,74996E-02;2,60004E-02
681;6,06791E-02;8,38899E-03;3,27149E-02;4,70099E-02;4,34960E-02;4,48985E-03;1,67852E-02;2,47511E-02
682;5,81295E-02;8,10709E-03;3,15538E-02;4,48997E-02;4,15615E-02;4,33740E-03;1,61311E-02;2,36134E-02
683;5,59559E-02;7,99421E-03;3,06287E-02;4,31974E-02;3,87292E-02;4,16570E-03;1,52786E-02;2,23282E-02
684;5,31172E-02;7,75086E-03;2,94240E-02;4,09853E-02;3,66200E-02;4,05577E-03;1,45717E-02;2,13190E-02
685;5,13534E-02;7,64468E-03;2,82148E-02;3,96626E-02;3,46946E-02;3,92055E-03;1,40084E-02;2,03424E-02
686;4,98649E-02;7,45176E-03;2,70963E-02;3,79292E-02;3,31823E-02;3,86581E-03;1,35433E-02;1,93393E-02
687;4,76330E-02;7,36770E-03;2,66065E-02;3,68110E-02;3,19440E-02;3,80395E-03;1,30267E-02;1,87177E-02
688;4,66118E-02;7,33691E-03;2,57865E-02;3,57117E-02;3,07518E-02;3,69731E-03;1,26566E-02;1,81470E-02
689;4,51406E-02;7,33383E-03;2,49658E-02;3,44801E-02;2,94805E-02;3,69503E-03;1,24093E-02;1,76855E-02
690;4,39518E-02;7,18777E-03;2,46824E-02;3,35945E-02;2,87338E-02;3,65711E-03;1,21199E-02;1,74136E-02
691;4,31084E-02;7,18052E-03;2,39642E-02;3,28471E-02;2,76942E-02;3,66756E-03;1,19797E-02;1,68431E-02
692;4,25136E-02;7,25578E-03;2,38114E-02;3,21102E-02;2,73964E-02;3,65049E-03;1,17992E-02;1,65843E-02
693;4,19949E-02;7,21768E-03;2,34824E-02;3,17866E-02;2,66836E-02;3,63486E-03;1,16866E-02;1,65072E-02
694;4,09343E-02;7,21104E-03;2,30989E-02;3,13126E-02;2,59962E-02;3,66485E-03;1,15677E-02;1,62674E-02
695;4,01727E-02;7,20849E-03;2,27707E-02;3,06823E-02;2,60840E-02;3,71036E-03;1,15248E-02;1,61576E-02
696;3,99508E-02;7,38601E-03;2,28910E-02;3,05797E-02;2,59294E-02;3,71762E-03;1,14820E-02;1,62073E-02
697;3,94125E-02;7,44460E-03;2,26204E-02;3,01563E-02;2,57325E-02;3,82745E-03;1,14007E-02;1,59918E-02
698;3,96029E-02;7,52263E-03;2,25875E-02;3,01851E-02;2,53385E-02;3,88864E-03;1,14429E-02;1,61471E-02
699;3,96864E-02;7,63939E-03;2,24746E-02;3,02832E-02;2,55486E-02;3,97601E-03;1,15892E-02;1,64747E-02
700;3,90981E-02;7,78803E-03;2,21311E-02;3,02130E-02;2,57865E-02;4,07974E-03;1,17185E-02;1,65284E-02
701;3,90229E-02;7,93747E-03;2,23199E-02;3,00831E-02;2,65513E-02;4,25651E-03;1,17942E-02;1,67790E-02
702;3,91573E-02;8,05974E-03;2,26119E-02;3,04249E-02;2,64132E-02;4,33640E-03;1,18459E-02;1,72243E-02
703;3,97766E-02;8,17865E-03;2,25364E-02;3,08053E-02;2,71855E-02;4,46612E-03;1,21538E-02;1,72494E-02
704;4,02662E-02;8,50970E-03;2,28496E-02;3,11293E-02;2,78750E-02;4,57160E-03;1,23918E-02;1,78441E-02
705;3,99847E-02;8,72622E-03;2,29473E-02;3,13046E-02;2,80976E-02;4,75508E-03;1,26314E-02;1,81853E-02
706;4,09679E-02;8,96914E-03;2,30910E-02;3,17699E-02;2,84896E-02;4,95039E-03;1,28645E-02;1,84345E-02
707;4,10623E-02;9,40558E-03;2,35027E-02;3,20938E-02;2,94855E-02;5,17399E-03;1,31304E-02;1,90516E-02
708;4,13810E-02;9,60680E-03;2,39540E-02;3,27372E-02;3,01807E-02;5,37602E-03;1,34263E-02;1,94175E-02
709;4,22955E-02;9,86211E-03;2,41238E-02;3,29099E-02;3,10573E-02;5,62561E-03;1,38078E-02;2,01007E-02
710;4,28049E-02;1,02467E-02;2,46120E-02;3,38024E-02;3,16617E-02;5,83826E-03;1,41826E-02;2,09575E-02
711;4,41548E-02;1,05710E-02;2,49463E-02;3,46820E-02;3,25968E-02;6,10750E-03;1,45892E-02;2,16627E-02
712;4,50396E-02;1,09651E-02;2,55143E-02;3,53444E-02;3,34865E-02;6,40790E-03;1,51271E-02;2,24531E-02
713;4,58987E-02;1,14637E-02;2,58448E-02;3,68363E-02;3,45128E-02;6,78944E-03;1,56327E-02;2,33864E-02
714;4,73572E-02;1,18779E-02;2,69498E-02;3,72147E-02;3,62020E-02;7,13638E-03;1,62126E-02;2,40176E-02
715;4,88125E-02;1,25410E-02;2,74963E-02;3,87124E-02;3,76593E-02;7,53390E-03;1,68929E-02;2,54071E-02
716;5,07340E-02;1,30050E-02;2,84107E-02;4,02404E-02;3,91916E-02;7,94042E-03;1,76104E-02;2,63209E-02
717;5,14008E-02;1,37289E-02;2,92882E-02;4,17529E-02;4,12069E-02;8,39089E-03;1,81471E-02;2,73466E-02
718;5,27890E-02;1,42171E-02;3,01983E-02;4,24802E-02;4,22332E-02;8,73475E-03;1,86845E-02;2,80594E-02
719;5,41337E-02;1,47350E-02;3,08429E-02;4,36000E-02;4,37700E-02;9,05121E-03;1,88628E-02;2,86890E-02
720;5,45883E-02;1,50620E-02;3,12988E-02;4,47143E-02;4,48430E-02;9,36545E-03;1,92405E-02;2,87425E-02
721;5,40215E-02;1,51807E-02;3,13603E-02;4,48123E-02;4,52160E-02;9,37230E-03;1,90384E-02;2,85296E-02
722;5,34870E-02;1,52184E-02;3,12945E-02;4,47640E-02;4,39563E-02;9,29612E-03;1,86139E-02;2,77067E-02
723;5,19110E-02;1,52821E-02;3,09987E-02;4,40904E-02;4,34351E-02;9,05334E-03;1,78995E-02;2,65583E-02
724;5,10543E-02;1,50277E-02;3,02639E-02;4,31733E-02;4,15640E-02;8,70224E-03;1,70544E-02;2,51304E-02
725;4,92001E-02;1,49755E-02;2,96479E-02;4,25062E-02;3,91083E-02;8,43850E-03;1,62361E-02;2,36956E-02
726;4,86598E-02;1,48307E-02;2,90207E-02;4,12354E-02;3,71423E-02;8,18307E-03;1,53183E-02;2,23708E-02
727;4,76003E-02;1,47796E-02;2,86333E-02;4,06494E-02;3,51606E-02;7,77767E-03;1,47630E-02;2,14740E-02
728;4,76496E-02;1,49350E-02;2,81692E-02;3,93208E-02;3,32685E-02;7,61764E-03;1,41311E-02;2,03211E-02
729;4,76468E-02;1,50093E-02;2,80126E-02;3,93980E-02;3,19948E-02;7,43924E-03;1,37518E-02;1,99015E-02
730;4,71242E-02;1,51658E-02;2,81417E-02;3,93842E-02;3,10119E-02;7,39293E-03;1,35702E-02;1,95500E-02
731;4,78572E-02;1,56474E-02;2,80515E-02;3,89705E-02;3,04321E-02;7,43313E-03;1,35931E-02;1,94987E-02
732;4,82675E-02;1,57433E-02;2,85635E-02;4,02898E-02;3,01485E-02;7,46467E-03;1,33579E-02;1,91595E-02
733;4,84513E-02;1,63366E-02;2,87519E-02;4,05005E-02;2,96923E-02;7,45585E-03;1,33946E-02;1,90635E-02
734;4,97647E-02;1,64602E-02;2,94257E-02;4,07025E-02;2,97609E-02;7,51903E-03;1,33463E-02;1,91314E-02
735;5,02075E-02;1,68151E-02;2,97695E-02;4,12513E-02;2,94218E-02;7,61502E-03;1,31734E-02;1,90551E-02
736;5,03189E-02;1,70632E-02;2,98920E-02;4,12839E-02;2,96957E-02;7,55471E-03;1,30876E-02;1,86620E-02
737;4,92454E-02;1,71661E-02;2,96379E-02;4,11481E-02;2,89833E-02;7,49119E-03;1,29024E-02;1,82386E-02
738;4,89191E-02;1,69402E-02;2,95429E-02;4,09621E-02;2,83980E-02;7,30080E-03;1,24881E-02;1,78632E-02
739;4,80291E-02;1,66482E-02;2,90992E-02;4,01487E-02;2,74210E-02;7,07204E-03;1,19581E-02;1,68758E-02
740;4,54914E-02;1,61231E-02;2,79458E-02;3,86989E-02;2,63876E-02;6,76837E-03;1,13610E-02;1,58750E-02
741;4,33628E-02;1,55982E-02;2,68523E-02;3,76074E-02;2,47174E-02;6,48977E-03;1,07907E-02;1,49748E-02
742;4,13558E-02;1,48181E-02;2,59742E-02;3,54318E-02;2,32557E-02;6,10672E-03;1,00934E-02;1,40455E-02
743;3,91104E-02;1,43506E-02;2,46344E-02;3,45305E-02;2,22670E-02;5,84233E-03;9,69584E-03;1,33879E-02
744;3,76146E-02;1,37323E-02;2,34202E-02;3,22837E-02;2,09394E-02;5,54325E-03;9,10420E-03;1,25937E-02
745;3,63342E-02;1,34840E-02;2,26619E-02;3,09310E-02;1,99684E-02;5,43664E-03;8,90637E-03;1,23337E-02
746;3,55126E-02;1,30393E-02;2,20275E-02;2,96370E-02;1,91810E-02;5,27513E-03;8,60330E-03;1,18967E-02
747;3,44396E-02;1,29306E-02;2,17293E-02;2,89258E-02;1,87187E-02;5,22570E-03;8,55284E-03;1,17041E-02
748;3,45033E-02;1,29817E-02;2,11171E-02;2,86018E-02;1,80087E-02;5,23968E-03;8,49570E-03;1,16912E-02
749;3,45666E-02;1,30850E-02;2,13277E-02;2,84082E-02;1,83883E-02;5,28787E-03;8,59160E-03;1,17231E-02
750;3,54088E-02;1,31319E-02;2,15561E-02;2,88685E-02;1,82875E-02;5,38542E-03;8,77975E-03;1,17094E-02
751;3,59880E-02;1,34609E-02;2,16349E-02;2,90737E-02;1,84341E-02;5,46243E-03;8,77861E-03;1,19364E-02
752;3,64240E-02;1,39619E-02;2,22505E-02;2,97566E-02;1,87961E-02;5,67786E-03;9,10125E-03;1,24721E-02
753;3,78692E-02;1,43875E-02;2,25690E-02;2,98544E-02;1,94187E-02;5,79023E-03;9,19682E-03;1,27321E-02
754;3,87339E-02;1,49106E-02;2,35679E-02;3,15264E-02;1,98095E-02;6,01321E-03;9,63564E-03;1,30601E-02
755;4,03758E-02;1,54272E-02;2,40748E-02;3,20345E-02;2,04863E-02;6,15124E-03;9,84882E-03;1,36131E-02
756;4,17180E-02;1,61111E-02;2,50061E-02;3,34562E-02;2,12088E-02;6,48151E-03;1,02720E-02;1,41608E-02
757;4,36541E-02;1,68754E-02;2,59864E-02;3,49797E-02;2,16318E-02;6,76447E-03;1,06028E-02;1,47260E-02
758;4,55569E-02;1,76754E-02;2,68656E-02;3,63922E-02;2,28821E-02;7,08804E-03;1,11883E-02;1,53924E-02
759;4,76507E-02;1,84559E-02;2,82521E-02;3,76200E-02;2,39340E-02;7,40390E-03;1,17502E-02;1,60766E-02
760;4,97850E-02;1,95195E-02;2,95810E-02;3,98198E-02;2,49371E-02;7,80441E-03;1,23137E-02;1,69650E-02
761;5,25874E-02;2,04925E-02;3,11046E-02;4,16722E-02;2,64569E-02;8,17815E-03;1,29797E-02;1,78940E-02
762;5,50638E-02;2,13518E-02;3,22909E-02;4,36168E-02;2,72486E-02;8,68083E-03;1,34828E-02;1,86740E-02
763;5,64580E-02;2,23206E-02;3,38126E-02;4,51879E-02;2,88275E-02;9,03412E-03;1,40842E-02;1,93901E-02
764;5,82388E-02;2,30588E-02;3,48607E-02;4,68710E-02;2,99493E-02;9,38766E-03;1,45260E-02;2,01052E-02
765;5,91571E-02;2,36653E-02;3,59394E-02;4,87776E-02;3,05347E-02;9,58119E-03;1,48415E-02;2,04346E-02
766;5,98495E-02;2,40376E-02;3,67896E-02;5,04227E-02;3,12778E-02;9,70789E-03;1,47992E-02;2,05896E-02
767;5,96000E-02;2,38745E-02;3,64966E-02;5,03318E-02;3,18684E-02;9,65106E-03;1,46111E-02;2,03982E-02
768;5,74738E-02;2,34709E-02;3,63730E-02;4,96746E-02;3,13827E-02;9,34130E-03;1,40063E-02;1,96910E-02
769;5,53421E-02;2,26990E-02;3,49726E-02;4,88569E-02;3,00819E-02;8,99974E-03;1,34721E-02;1,84904E-02
770;5,19530E-02;2,13481E-02;3,43168E-02;4,64930E-02;2,90238E-02;8,55979E-03;1,26664E-02;1,75491E-02
771;4,91281E-02;2,04570E-02;3,19944E-02;4,46594E-02;2,69920E-02;8,19450E-03;1,19426E-02;1,65047E-02
772;4,66249E-02;1,94337E-02;3,02999E-02;4,16724E-02;2,54102E-02;7,80149E-03;1,12939E-02;1,57613E-02
773;4,40130E-02;1,86999E-02;2,85874E-02;3,95390E-02;2,40584E-02;7,42176E-03;1,09767E-02;1,51870E-02
774;4,20497E-02;1,77206E-02;2,71942E-02;3,76367E-02;2,32861E-02;7,21706E-03;1,04672E-02;1,46611E-02
775;4,04017E-02;1,72684E-02;2,62670E-02;3,59434E-02;2,22127E-02;6,99270E-03;1,01195E-02;1,44698E-02
776;3,94607E-02;1,68306E-02;2,51261E-02;3,48470E-02;2,14776E-02;6,98193E-03;1,02373E-02;1,43139E-02
777;3,86086E-02;1,66564E-02;2,48306E-02;3,42534E-02;2,08830E-02;6,95334E-03;1,00593E-02;1,43165E-02
778;3,91217E-02;1,66356E-02;2,43962E-02;3,35018E-02;2,11166E-02;7,04791E-03;1,01604E-02;1,45122E-02
779;3,88517E-02;1,66745E-02;2,41747E-02;3,42233E-02;2,09236E-02;7,13917E-03;1,05233E-02;1,46124E-02
780;3,91722E-02;1,72786E-02;2,44237E-02;3,31759E-02;2,08865E-02;7,30442E-03;1,05512E-02;1,50092E-02
781;4,00825E-02;1,73671E-02;2,47901E-02;3,36861E-02;2,18577E-02;7,56573E-03;1,09441E-02;1,55056E-02
782;4,11926E-02;1,80339E-02;2,51450E-02;3,47898E-02;2,23631E-02;7,82144E-03;1,12234E-02;1,61778E-02
783;4,17616E-02;1,83326E-02;2,57046E-02;3,53147E-02;2,29053E-02;8,13513E-03;1,17036E-02;1,66009E-02
784;4,37799E-02;1,91550E-02;2,64321E-02;3,67458E-02;2,37585E-02;8,47440E-03;1,21705E-02;1,74378E-02
785;4,53852E-02;2,00017E-02;2,75293E-02;3,79679E-02;2,45170E-02;8,83412E-03;1,27496E-02;1,82315E-02
786;4,69033E-02;2,08620E-02;2,83192E-02;3,90719E-02;2,53382E-02;9,24451E-03;1,32752E-02;1,88796E-02
787;4,87518E-02;2,14985E-02;2,94551E-02;4,09409E-02;2,64456E-02;9,67004E-03;1,36632E-02;1,94894E-02
788;5,04912E-02;2,24649E-02;3,03578E-02;4,22968E-02;2,72745E-02;9,96435E-03;1,41351E-02;2,04353E-02
789;5,23581E-02;2,31627E-02;3,13784E-02;4,33962E-02;2,83034E-02;1,02391E-02;1,46319E-02;2,07576E-02
790;5,40666E-02;2,38654E-02;3,23957E-02;4,49911E-02;2,90524E-02;1,05903E-02;1,51006E-02;2,17326E-02
791;5,59926E-02;2,46317E-02;3,37591E-02;4,63375E-02;3,01515E-02;1,10725E-02;1,56429E-02;2,24962E-02
792;5,77989E-02;2,55103E-02;3,48221E-02;4,82466E-02;3,11499E-02;1,15240E-02;1,61443E-02;2,34005E-02
793;5,90991E-02;2,64924E-02;3,57686E-02;4,98561E-02;3,26080E-02;1,19504E-02;1,67749E-02;2,41705E-02
794;6,24347E-02;2,73480E-02;3,69045E-02;5,13214E-02;3,30772E-02;1,23681E-02;1,75391E-02;2,53019E-02
795;6,38844E-02;2,83971E-02;3,83681E-02;5,31555E-02;3,47729E-02;1,28680E-02;1,84234E-02;2,64008E-02
796;6,66388E-02;2,93997E-02;3,97245E-02;5,52674E-02;3,60481E-02;1,35181E-02;1,92011E-02;2,77755E-02
797;6,87556E-02;3,09046E-02;4,13777E-02;5,72746E-02;3,73437E-02;1,42837E-02;2,02146E-02;2,90241E-02
798;7,26214E-02;3,22056E-02;4,30721E-02;5,94734E-02;4,01246E-02;1,51255E-02;2,11869E-02;3,11117E-02
799;7,53648E-02;3,35605E-02;4,48444E-02;6,30134E-02;4,17062E-02;1,59488E-02;2,26688E-02;3,26741E-02
800;7,81905E-02;3,51150E-02;4,64558E-02;6,45233E-02;4,39738E-02;1,66580E-02;2,36787E-02;3,42924E-02
801;8,09896E-02;3,63773E-02;4,81888E-02;6,74277E-02;4,65186E-02;1,74600E-02;2,46591E-02;3,56288E-02
802;8,46933E-02;3,75166E-02;5,02001E-02;6,98439E-02;4,74247E-02;1,83275E-02;2,54136E-02;3,69244E-02
803;8,64811E-02;3,84615E-02;5,17975E-02;7,21723E-02;5,03252E-02;1,85561E-02;2,60559E-02;3,73228E-02
804;8,79108E-02;3,94451E-02;5,31914E-02;7,43129E-02;5,10612E-02;1,87494E-02;2,61578E-02;3,76509E-02
805;8,84732E-02;3,97757E-02;5,39122E-02;7,57676E-02;5,23047E-02;1,87435E-02;2,58120E-02;3,70950E-02
806;8,74416E-02;3,93366E-02;5,39764E-02;7,63951E-02;5,18452E-02;1,81197E-02;2,47855E-02;3,57946E-02
807;8,50460E-02;3,84935E-02;5,31739E-02;7,46009E-02;4,95430E-02;1,70914E-02;2,34016E-02;3,28928E-02
808;8,09622E-02;3,64515E-02;5,15758E-02;7,25196E-02;4,65455E-02;1,59119E-02;2,15308E-02;3,07534E-02
809;7,61472E-02;3,44788E-02;4,89743E-02;6,88465E-02;4,40483E-02;1,43901E-02;1,95404E-02;2,74782E-02
810;7,00614E-02;3,21842E-02;4,64845E-02;6,55623E-02;3,99251E-02;1,30002E-02;1,72857E-02;2,47317E-02
811;6,49490E-02;2,93721E-02;4,30599E-02;6,06432E-02;3,57495E-02;1,15659E-02;1,52898E-02;2,18095E-02
812;5,85187E-02;2,67271E-02;3,95498E-02;5,60504E-02;3,15610E-02;1,01578E-02;1,36127E-02;1,93885E-02
813;5,30134E-02;2,40679E-02;3,59224E-02;5,02069E-02;2,83614E-02;9,02342E-03;1,19937E-02;1,69947E-02
814;4,71400E-02;2,17642E-02;3,21648E-02;4,50692E-02;2,44931E-02;7,97767E-03;1,05989E-02;1,47844E-02
815;4,19233E-02;1,92676E-02;2,88893E-02;4,06359E-02;2,17652E-02;6,90076E-03;9,27086E-03;1,30410E-02
816;3,73641E-02;1,73695E-02;2,60713E-02;3,58651E-02;1,90629E-02;6,18831E-03;8,43427E-03;1,15120E-02
817;3,39289E-02;1,55781E-02;2,35128E-02;3,30694E-02;1,71354E-02;5,52806E-03;7,46128E-03;1,05060E-02
818;3,04566E-02;1,43190E-02;2,13765E-02;2,91937E-02;1,59722E-02;5,07912E-03;6,98967E-03;9,40409E-03
819;2,87701E-02;1,32067E-02;1,96072E-02;2,66928E-02;1,38729E-02;4,71173E-03;6,47562E-03;8,87880E-03
820;2,63481E-02;1,21485E-02;1,82116E-02;2,46689E-02;1,30474E-02;4,33194E-03;6,05977E-03;8,20961E-03
821;2,48854E-02;1,14797E-02;1,67251E-02;2,32465E-02;1,23183E-02;4,12732E-03;5,65910E-03;7,80071E-03
822;2,36638E-02;1,08254E-02;1,58398E-02;2,12267E-02;1,12576E-02;3,94428E-03;5,52024E-03;7,20616E-03
823;2,24111E-02;1,02412E-02;1,49032E-02;2,01272E-02;1,07696E-02;3,75912E-03;5,25600E-03;6,79401E-03
824;2,17644E-02;9,93372E-03;1,43250E-02;1,92982E-02;1,06461E-02;3,64059E-03;5,06713E-03;6,74862E-03
825;2,14716E-02;9,68673E-03;1,38516E-02;1,87036E-02;1,01302E-02;3,48811E-03;4,97348E-03;6,51170E-03
826;2,10306E-02;9,67547E-03;1,37733E-02;1,80406E-02;1,00418E-02;3,56559E-03;4,97445E-03;6,60727E-03
827;2,08857E-02;9,41958E-03;1,37256E-02;1,80608E-02;9,72457E-03;3,51388E-03;4,91320E-03;6,64297E-03
828;2,04550E-02;9,36311E-03;1,34454E-02;1,73295E-02;9,27416E-03;3,47894E-03;5,00524E-03;6,41323E-03
829;2,05912E-02;9,38188E-03;1,34764E-02;1,73933E-02;9,76269E-03;3,51200E-03;5,01259E-03;6,65500E-03
830;2,06807E-02;9,52513E-03;1,33926E-02;1,69690E-02;9,49625E-03;3,52950E-03;4,95202E-03;6,50468E-03
831;2,12204E-02;9,75689E-03;1,36788E-02;1,73840E-02;9,46470E-03;3,64489E-03;5,21447E-03;6,88848E-03
832;2,13653E-02;9,80922E-03;1,38730E-02;1,75251E-02;9,72144E-03;3,73349E-03;5,30016E-03;6,88410E-03
833;2,22019E-02;1,00155E-02;1,42107E-02;1,82306E-02;1,03009E-02;3,91468E-03;5,58024E-03;7,19968E-03
834;2,30882E-02;1,06223E-02;1,47844E-02;1,84582E-02;1,07175E-02;4,02291E-03;5,80530E-03;7,34727E-03
835;2,39984E-02;1,07907E-02;1,51495E-02;1,94131E-02;1,08260E-02;4,22077E-03;5,94506E-03;7,82981E-03
836;2,57317E-02;1,14547E-02;1,56353E-02;2,01479E-02;1,12911E-02;4,40522E-03;6,28156E-03;8,21996E-03
837;2,60879E-02;1,20927E-02;1,66357E-02;2,08869E-02;1,22286E-02;4,65164E-03;6,54964E-03;8,58819E-03
838;2,75113E-02;1,27802E-02;1,73727E-02;2,18081E-02;1,24626E-02;4,88026E-03;7,02889E-03;9,20063E-03
839;2,92243E-02;1,30769E-02;1,81942E-02;2,28297E-02;1,30374E-02;5,08130E-03;7,42005E-03;9,68425E-03
840;3,04079E-02;1,39219E-02;1,90323E-02;2,35036E-02;1,38652E-02;5,49744E-03;7,72743E-03;1,01055E-02
841;3,17223E-02;1,45903E-02;2,03330E-02;2,52983E-02;1,44301E-02;5,80530E-03;8,31444E-03;1,08388E-02
842;3,41740E-02;1,54912E-02;2,12128E-02;2,64523E-02;1,54793E-02;6,10762E-03;8,75863E-03;1,13611E-02
843;3,59495E-02;1,63992E-02;2,22646E-02;2,78972E-02;1,61947E-02;6,46513E-03;9,31593E-03;1,20549E-02
844;3,80226E-02;1,72471E-02;2,32112E-02;2,91016E-02;1,73907E-02;6,96703E-03;9,88668E-03;1,28398E-02
845;3,93341E-02;1,82221E-02;2,45235E-02;3,05467E-02;1,81222E-02;7,21138E-03;1,03407E-02;1,34659E-02
846;4,14325E-02;1,90431E-02;2,59746E-02;3,23447E-02;1,92501E-02;7,66775E-03;1,10296E-02;1,41538E-02
847;4,33492E-02;1,99691E-02;2,69228E-02;3,39145E-02;2,01990E-02;8,06703E-03;1,16472E-02;1,49345E-02
848;4,46894E-02;2,10088E-02;2,81868E-02;3,58257E-02;2,12922E-02;8,55215E-03;1,22213E-02;1,57397E-02
849;4,73760E-02;2,18226E-02;2,95445E-02;3,71508E-02;2,17041E-02;9,00916E-03;1,27995E-02;1,64915E-02
850;4,95546E-02;2,27456E-02;3,12453E-02;3,85157E-02;2,37611E-02;9,34964E-03;1,34751E-02;1,75524E-02
851;5,06642E-02;2,32939E-02;3,20672E-02;3,96023E-02;2,42216E-02;9,82706E-03;1,38882E-02;1,80920E-02
852;5,04493E-02;2,42640E-02;3,31259E-02;4,20741E-02;2,54084E-02;1,00198E-02;1,42383E-02;1,87040E-02
853;5,25581E-02;2,46380E-02;3,37140E-02;4,26014E-02;2,61957E-02;1,03240E-02;1,44440E-02;1,89267E-02
854;5,34863E-02;2,51078E-02;3,44618E-02;4,35336E-02;2,61857E-02;1,04301E-02;1,45180E-02;1,88125E-02
855;5,29942E-02;2,46841E-02;3,48383E-02;4,39831E-02;2,69810E-02;1,04048E-02;1,44712E-02;1,87791E-02
856;5,24871E-02;2,51009E-02;3,49557E-02;4,37900E-02;2,67398E-02;1,03306E-02;1,41984E-02;1,88681E-02
857;5,16965E-02;2,44126E-02;3,45119E-02;4,45657E-02;2,67274E-02;1,00334E-02;1,39012E-02;1,80447E-02
858;4,99455E-02;2,39236E-02;3,37643E-02;4,30879E-02;2,54955E-02;9,67139E-03;1,33146E-02;1,73147E-02
859;4,70252E-02;2,26103E-02;3,25114E-02;4,11088E-02;2,50528E-02;9,06718E-03;1,22740E-02;1,58411E-02
860;4,43930E-02;2,14322E-02;3,11188E-02;3,93325E-02;2,32786E-02;8,34331E-03;1,14243E-02;1,47823E-02
861;4,15286E-02;1,97589E-02;2,96256E-02;3,69488E-02;2,18211E-02;7,68022E-03;1,04186E-02;1,33467E-02
862;3,78952E-02;1,85315E-02;2,74490E-02;3,49334E-02;1,97160E-02;7,05740E-03;9,61667E-03;1,22963E-02
863;3,56033E-02;1,70111E-02;2,52099E-02;3,20334E-02;1,83577E-02;6,46533E-03;8,66203E-03;1,10487E-02
864;3,25022E-02;1,60335E-02;2,36008E-02;2,95826E-02;1,68419E-02;5,94087E-03;8,05919E-03;1,01039E-02
865;3,00811E-02;1,46382E-02;2,20742E-02;2,76063E-02;1,52038E-02;5,40245E-03;7,28216E-03;9,18791E-03
866;2,83853E-02;1,34530E-02;2,01617E-02;2,58657E-02;1,44883E-02;5,03165E-03;6,79224E-03;8,51550E-03
867;2,60468E-02;1,26770E-02;1,86715E-02;2,36420E-02;1,28782E-02;4,59883E-03;6,40140E-03;7,83821E-03
868;2,41672E-02;1,17670E-02;1,74498E-02;2,19434E-02;1,18548E-02;4,30850E-03;5,92099E-03;7,60003E-03
869;2,30137E-02;1,10878E-02;1,65418E-02;2,03145E-02;1,13978E-02;4,10257E-03;5,74953E-03;7,00147E-03
870;2,19102E-02;1,05930E-02;1,57401E-02;1,86056E-02;1,05368E-02;3,94034E-03;5,47373E-03;6,76394E-03
871;2,15288E-02;1,02990E-02;1,48756E-02;1,84129E-02;1,00079E-02;3,85836E-03;5,32302E-03;6,55506E-03
872;2,04479E-02;9,74487E-03;1,44346E-02;1,78194E-02;9,81606E-03;3,76385E-03;5,35622E-03;6,45797E-03
